	ABT	AG	AHR	AKMK	AKMW	AKNK	AKOK	AKR	AKWG	AKWH	AKWK	ANI	AR	ARM	ART	ASH	AU	AW	AWD	AWN	BAL	BC	BOG	BOR	BR	BSH	CB	CBWK	CH	CL	CMD	CS	D	DC	DCB	DCP	DRY	DUD	EAL	EL	EM	ESK	EU	FRK	GLN	HAL	HAN	HBMAK	HBMAN	HBMNR	HBPOR	HER	HKH	HOK	HOR	HRMAN	HRMW	HRN	HRWG	HT	HTM	HUT	HW	IRC	JLB	JLH	JLW	K	KAR	KAU	KH	KKP	KN	KOW	KP	KRK	KT	KTN	KWH	LG	LU	LV	LYL	M	MA	MB	MD	MGK	MGP	MH	MKD	MKM	MKU	ML	MNK	MNR	MNT	MO	MPT	MRP	MSB	MTK	MTR	MTU	MU	MUG	MWB	MWF	MWP	MWW	NKU	O	OAG	OAK	OAL	OAM	OB	OHP	OMR	OMW	OP	OPH	OPU	OR	ORO	OT	OTH	OTN	OTR	PAH	PAW	PB	PCK	PGH	PH	PHE	PHN	PHP	PIR	PKW	PP	PRN	PRS	PU	PUH	QLB	RED	RES	RG	RH	RHP	RMW	RUA	SEL	SH	SKL	SP	SPR	SR	STX	SY	TAS	TH	TIR	TIW	TK	TKP	TKT	TNK	TP	TR	TRB	TRC	TRK	TRN	TRP	TRU	TS	TSH	TSRM	TUK	VU	WAI	WB	WC	WGMAN	WGPOR	WGR	WGWG	WHB	WKK	WKMTA	WKN	WKNK	WKOKU	WKR	WKWK	WMR	WMU	WN	WP	WPR	WS	WTT
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Beutenbergiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.66667E-05	0	0	0	0	0	0	0	0.000133333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.66667E-05	0	0	0	0	0	0	0	0	0	6.66667E-05	0	0.000333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.66667E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.66667E-05	0	0	0	0	0	0	0	0.000133333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000133333	0	6.66667E-05	0	0	0	0	0	0	0	0	0	0	0	6.66667E-05	0	0	0	6.66667E-05	0	0	0	6.66667E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.66667E-05	0	0	0	0	0	0	0	0	0	0	0	0	6.66667E-05	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Brevibacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.66667E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.66667E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	6.66667E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.66667E-05	0	0	0	0	0	0	0	0	0	0	0	6.66667E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Cellulomonadaceae	0	0	0	0	0	6.66667E-05	0	0.000266667	0	0	0	0	0	0	0.000266667	6.66667E-05	6.66667E-05	0	6.66667E-05	0	0	0.000466667	0	0.000533333	0	0	0	0	6.66667E-05	0	0	6.66667E-05	0	6.66667E-05	6.66667E-05	0	0	0.001466667	0	0	0.000133333	0.000133333	0	0	0	0.0004	0	0	0	0.0002	0	6.66667E-05	0	0	0.000133333	6.66667E-05	0	0	0.0004	0.000933333	0	0	6.66667E-05	0	0.002333333	0.0006	0.0002	0	0.0014	0	0	0	0	0	0	0	0	0	0	6.66667E-05	0	0	0.000133333	0.0002	6.66667E-05	0	0	0.001066667	0	0	6.66667E-05	0	0	0.0002	0.0004	6.66667E-05	0.0008	0.000133333	0.000466667	0	0.000133333	0	6.66667E-05	0	0	0.000133333	0.0002	0	0.0006	0	0.0002	0	0	0	0	0	0.000266667	0	0	0	0.0002	0	0	0.0002	0.000133333	6.66667E-05	0	0	0	0	0	6.66667E-05	6.66667E-05	0	0	6.66667E-05	6.66667E-05	0	0	6.66667E-05	0.000133333	0.000333333	0.000133333	6.66667E-05	0.000133333	0.000533333	6.66667E-05	0.000266667	0.0004	0	0.000333333	0	0.000266667	0	0.000266667	0.011133333	0	0	0	0	0.000133333	0	0.000133333	0	0	0.0004	0	0	0	0	0	0	0	0.000466667	0.0002	0	0.002666667	0	0	0.000666667	0	0.0002	6.66667E-05	0	6.66667E-05	0.0002	0	0.000266667	0.0006	6.66667E-05	0.000133333	0	0	0.0002	0.000266667	0	6.66667E-05	0.000733333	0.0002	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae	0	0	0	0	0	0	0	0	0	0	0	6.66667E-05	0	0	0	0	0	0	0	0	0	0.000133333	0	0	0.000266667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0002	0	0	0	0	0	0	0	0	0	0	0	0	0	6.66667E-05	0	0	0	0	0	0	0	0	6.66667E-05	0	0	0	0	0	0	6.66667E-05	0	0	0	0	0	0.000533333	0	0	0	0	6.66667E-05	0	0	0	0	0	0	0	0	6.66667E-05	0	6.66667E-05	0	0	0	0	0	0	0.000133333	0	0.0004	0	0	0	0	0	0	0	0	0	0	6.66667E-05	0	0	0.000266667	0	0	0	0	0	0.0004	0.000133333	0	0	0	6.66667E-05	0	0	0	0	0	6.66667E-05	0	0	0	0	0	0	0	0.000266667	0	0	0	0	0	0	6.66667E-05	0	0	0	0	0	0	6.66667E-05	0	0	6.66667E-05	0	0.000666667	0	0	0	0	0	0	0	6.66667E-05	0	0	0.001333333	0	0	0	0	0	0	6.66667E-05	6.66667E-05	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Cryptosporangiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000133333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000133333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.66667E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.66667E-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Dermabacteraceae	0	0	6.66667E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.66667E-05	0	0	0	0	0	0	0	0	0	0	6.66667E-05	0	0	0	6.66667E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.66667E-05	0.000133333	6.66667E-05	0	0	0	0	0	0	0	0	6.66667E-05	0	0	0	0	0	0	0.000466667	0	0	0.000133333	0	0	0	0	0	0	0	0	6.66667E-05	0	0	0	0	0	0	0	0	0	6.66667E-05	0	0	0	0	0	0	0	0	0	0.000133333	0	0	0.000333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.66667E-05	0	0	0	0	0	0	0	0	6.66667E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000133333	0	0	0	0	0	0	0	0	0	0	6.66667E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.66667E-05	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Dermacoccaceae	0	0	0	0	0	6.66667E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.66667E-05	0	0	0	0	0	0	0	0	0	0	0	6.66667E-05	0	0	0	0	6.66667E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.66667E-05	0	0	0.000133333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.66667E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Dermatophilaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.66667E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Dietziaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.66667E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000133333	0	6.66667E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.66667E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.66667E-05	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Frankiaceae	0	0	0	0	0	0.000333333	0.000266667	6.66667E-05	0	0	0	0	0	0	0	0	0.0002	0	0.0006	0.000333333	0	0	0	0	0	0	0	0	0	0	0	0.000133333	6.66667E-05	6.66667E-05	0.0002	6.66667E-05	0	0	0	0	0	0	0.000266667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0004	0	0	0	6.66667E-05	0	0	0.0002	0	0	0	0	0	0	0	6.66667E-05	0	0	0	0	0.000266667	0	0	0	0	0.0002	0	0	0	0	0	0	0	0	0	0	6.66667E-05	0.000466667	0	0	0	0.000133333	0	0	0	6.66667E-05	0.000333333	0	0	0	0	0	6.66667E-05	0	6.66667E-05	0	0	0	0	0	0	6.66667E-05	0	6.66667E-05	0	0	0	6.66667E-05	0.000133333	0	0.0002	0	0	0	0	0	0	0	0	0	0	0	0	6.66667E-05	6.66667E-05	6.66667E-05	0.000133333	0	0	0	0.000133333	0	0.000133333	0	0	0	0	0	0	6.66667E-05	0	0	0	0	0	6.66667E-05	0	0	0	0.000266667	0.000266667	6.66667E-05	0	0	0	0.000133333	0	0.0002	0	0	6.66667E-05	0	0	0	6.66667E-05	0	0	6.66667E-05	0	0	0.000133333	0	0	0.0004	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Geodermatophilaceae	0	0	0	0	0	0.0012	0	0	0	0	0	0	6.66667E-05	0	0	0	0	0	0.000333333	0	0	0	0	6.66667E-05	0	0	0	0	0.0002	0	0	0	0.000933333	6.66667E-05	0	0	0	0	0	0	6.66667E-05	0	6.66667E-05	0	0	0	0.0004	0	0	0	0	0	0	0	0	0	0	6.66667E-05	0	0	0	0	0	0	0.002866667	0.0002	0.000133333	6.66667E-05	0.000266667	0	0	0	0	6.66667E-05	0	0	0	0	0	0.0008	0	0	0	0	0	0	0	0.000266667	0	0	0	0	0.0002	0	0	0	0	0	0	0	0.000133333	0	0	0	0	0	0	0	6.66667E-05	6.66667E-05	0	0	0	0	0	0	0	0	6.66667E-05	0	0	0	0	0	0	0	0	0	6.66667E-05	0	0	0	0	0.000133333	0	0	6.66667E-05	0	0	0	0	0	0	0	0	0.000133333	0	0.000666667	0	6.66667E-05	0.000533333	0	0	0	0	0	0	0	0	0	6.66667E-05	6.66667E-05	0	0	0	0	0	0	0	0.0002	0	0	0	0	0	0	0	0	6.66667E-05	0.0006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000133333	0	0	0.0002	0	0	0	0	0	6.66667E-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Glycomycetaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Gordoniaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.66667E-05	0	0	6.66667E-05	0	0	0	0	6.66667E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.66667E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.66667E-05	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Intrasporangiaceae	0	0.000533333	0.002466667	0.0004	0	0.000333333	0.000133333	6.66667E-05	0	0	0.000133333	0.000266667	0.0002	0.000266667	0	0.000133333	0	0	6.66667E-05	0	0.001266667	0.0008	0	0.0016	0.000733333	0	6.66667E-05	0	0.002266667	0.0006	0	0.000133333	0.0004	0.0006	0.0002	0.000133333	0	0.002733333	6.66667E-05	0.000466667	0.0004	0	0.000133333	0	0.000133333	0.014733333	6.66667E-05	0	6.66667E-05	0	6.66667E-05	0.000133333	0.000133333	0	0.0002	0	6.66667E-05	0.0002	0	0.000266667	6.66667E-05	6.66667E-05	0.0006	6.66667E-05	0.0052	0.012733333	0.012266667	0.000333333	0.002866667	0	0	0	6.66667E-05	0	0	6.66667E-05	0	0	0	0.000466667	6.66667E-05	0.000666667	0.000133333	0	0.000133333	0	0	0.000533333	6.66667E-05	0.000133333	0.000133333	0	0	6.66667E-05	6.66667E-05	0.001133333	6.66667E-05	0	0	0	6.66667E-05	0.001133333	0.0004	0	0.001133333	0	0.0002	0	0	0.0098	6.66667E-05	6.66667E-05	0	0.000533333	0	0.000133333	0.000133333	0.000133333	0.000466667	0.000133333	0.000533333	0	0	0	0	0.0002	0	0.000133333	0.000666667	0	0.000466667	0.000533333	0.0008	0.0002	6.66667E-05	0.000133333	6.66667E-05	0.0002	0	0.000333333	6.66667E-05	0.001933333	0	6.66667E-05	0.0006	0.0052	0.002333333	0.003533333	0.0006	0.000466667	0.014133333	0	0.0002	0	0.000266667	0.000266667	0	0	0	0	0.000266667	0.001466667	0	0.000266667	0	0	0.000133333	0	0	0	6.66667E-05	0	0.000133333	0.000266667	0.000533333	0.0002	0.000333333	0	0	0.0034	0	0.0002	0.001666667	0.000133333	0.0002	0.000333333	0.0004	0.0004	0.000266667	0	0	0.000733333	0.000333333	0.0004	0.002	0.0002	0.0002	0.003333333	0.0002	0.000666667	0.000133333	0	6.66667E-05	0.000866667
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Jonesiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.66667E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Kineosporiaceae	0	0	0.000133333	6.66667E-05	0	0.000133333	0.0012	0	0.000333333	0.000466667	6.66667E-05	0	0	0.000333333	6.66667E-05	0	0.000533333	0	0.000733333	0.0004	0	0	0	0.000266667	0	0	0	0	0.003466667	0	0	0.000133333	0	0.000133333	6.66667E-05	0.000133333	0	0	0	0.0002	0.0002	0	0.0012	0	0	6.66667E-05	0	0	6.66667E-05	0	0	0.000666667	0.000333333	0	0	0	0	0	0	0	0	0	0.000133333	0	0.001066667	0.001933333	0.000666667	0	0.0006	0	6.66667E-05	0.000866667	0	0	0	0	6.66667E-05	0	6.66667E-05	0.001666667	0	0.000266667	0.000133333	0	0.0004	0	0.000466667	6.66667E-05	0.000533333	0.000133333	0	0	6.66667E-05	0	0	6.66667E-05	0.000133333	0	0.000466667	0	0	0.0006	0	0.000266667	0.000133333	0	0	0	6.66667E-05	0.0402	0.0002	0.000933333	0	0.000466667	6.66667E-05	0.000133333	0.000133333	0	0	0.000666667	0.0002	0	0	0.000266667	0	0.001066667	0.002466667	0.000866667	0.001466667	0	0	6.66667E-05	0.000466667	0	0.0004	0.0002	0.0002	0	0	0.0002	0	0	0	0.000466667	0	0	0.000533333	0.001066667	0	0.000133333	0.007333333	0	0	0	0.000333333	0	0.002066667	0	0	0	0.000133333	6.66667E-05	0	0	0.003533333	0	0	0	0	0.000266667	6.66667E-05	0	6.66667E-05	0.000133333	0.000666667	6.66667E-05	6.66667E-05	6.66667E-05	0	0.000333333	0	0.000533333	0.0004	0	0	0	0.0002	6.66667E-05	0.0002	0	0.000133333	0.0002	0.000266667	0.000466667	0.0004	0	6.66667E-05	0.000466667	0	0.000266667	0	0	0.000133333	0.000266667
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae	0.000266667	0	0.001866667	0.0024	6.66667E-05	0.000866667	0.002933333	0.003266667	0.000266667	0.001666667	0.000133333	0.0042	0	0.001866667	0.006733333	0.003133333	0.001933333	0.011	0.000266667	0.0032	0.001333333	0.004533333	0.002666667	0.0036	0.013666667	0	0.001466667	0.000266667	0.001666667	0.0026	0.0026	0.000666667	0.000466667	0.001333333	0.004066667	0.005733333	0.000333333	0.007933333	0.002133333	0.002866667	0.003866667	0.0008	0.004533333	0	0.010666667	0.014466667	0.003933333	0.001666667	0.000466667	0.0006	0.0028	0.0008	0.001333333	0.003333333	0.000733333	0.000266667	0.001866667	0.001	0.008066667	0.008133333	0.000466667	0.001	0.001666667	0.002533333	0.005866667	0.006066667	0.009266667	0.002066667	0.0048	0.011333333	0.004133333	0.000666667	0.001733333	0.0002	0.000333333	0.000133333	0.000333333	0.0002	0.0004	0.0016	0.000266667	0.000266667	0.0138	0.000666667	0.001266667	0.001466667	0.001866667	0.015266667	0.000133333	0.000866667	0.004066667	0	0.0012	0.0004	0.005466667	0.001466667	0.003666667	0.0014	0	0.018733333	0.000533333	0.008266667	0.0022	0	0.0006	0.001133333	0.0044	0.003866667	0.01	0.000333333	0.002866667	0.001466667	0.004133333	0.000333333	0.003066667	0.0002	0.000266667	0.013933333	0.0026	0	0.000533333	0.0022	0.000133333	0.001333333	0.004866667	0.007866667	0.000733333	0.000733333	0.000466667	0	0.001066667	0.0032	0.003933333	0.000866667	0.000866667	0.002266667	0.0024	0.002	0.0002	0.006933333	0.000133333	0.0014	0.001866667	0.011133333	0.007933333	0.002866667	0.003533333	0.012133333	0.021066667	0.000533333	0.003266667	0.001	0.0118	0.000266667	0.001866667	0.003666667	0.001266667	0.003533333	0.0032	0.002866667	0.000533333	0.004333333	0.0068	0.026466667	0.001466667	0.036266667	0.001333333	0.002533333	0.005333333	0.005666667	0.001266667	0.002733333	0	0.0026	0.001066667	0.000866667	0.016266667	0.001933333	0.001266667	0.003933333	0.0018	0.0014	0.000266667	0.000333333	0.0454	0.003733333	0.0024	0.0066	0.000466667	0.004733333	0.000466667	0.000333333	0.0002	0	0.002466667	0.001	0.0014	0.0294	0.008933333	0.0014	0.0014	0.0024	0.003266667	0.000666667
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae	0.0008	0.000266667	0.0058	0.000266667	0	0.000466667	0.000133333	0.010466667	6.66667E-05	0	6.66667E-05	0.002533333	6.66667E-05	0	6.66667E-05	0.0526	0	6.66667E-05	0.000466667	0.000133333	0.006866667	0.000266667	0.000133333	0.000933333	0.0798	0.0002	0.000866667	0.0046	0.001533333	0.006	0.000333333	0.000133333	6.66667E-05	0.001	0.000933333	0.000933333	0.000266667	0.003466667	0.000866667	0.000533333	6.66667E-05	6.66667E-05	0.000266667	0.014066667	0.017333333	0.054733333	0.005466667	6.66667E-05	0.000133333	0.000666667	0.0002	0.000133333	6.66667E-05	0.001333333	0.0002	0.001066667	0.0022	0	0.016466667	0.015933333	6.66667E-05	0	0.000333333	0.000733333	0.002733333	0.005266667	0.004	0.001866667	0.002133333	6.66667E-05	0.068733333	0	0	0.001733333	0.000133333	0.0002	0.000333333	0.000266667	0.003666667	0.0008	0.0002	0.0004	0.037333333	0.0004	0	0.038333333	0	0.001666667	0	6.66667E-05	0	0	6.66667E-05	6.66667E-05	0.031266667	0.0012	0.009866667	0	6.66667E-05	0.000666667	0.000133333	0.000333333	0	0	0.001866667	0.0088	0.028866667	0.000533333	0.005466667	0.000133333	0	0.000333333	0.001666667	0.001266667	0.000866667	6.66667E-05	6.66667E-05	0.010533333	0.0094	0	0	0.004866667	6.66667E-05	0.000333333	0.004733333	0.000133333	0.0002	0.000133333	0.001066667	0	0.000533333	0.000666667	0.000933333	6.66667E-05	0.000266667	0.015333333	0	0.0004	0.000133333	0.000733333	0.000533333	0.047266667	0.000266667	0.000666667	0.000133333	0.101466667	0.011933333	0.0012	0.089	0.000666667	0.002333333	0.004666667	0.001066667	0.000133333	0.001133333	0.051666667	0	0.0024	0.001466667	0.023733333	6.66667E-05	0.007333333	0.008466667	0.009333333	6.66667E-05	0.032866667	0.000466667	0	0.0248	0.007333333	0.001	0.0002	0.0004	0.001	0	0.008266667	0.027133333	0.000266667	0.000266667	0.007533333	0	0.0004	6.66667E-05	0.0004	0.0038	0.000133333	0.000133333	0.004666667	6.66667E-05	6.66667E-05	0.001066667	0.004266667	0	6.66667E-05	0.002733333	0.000266667	0.0034	0.029133333	0.002266667	0.001333333	0	0.000466667	0.000133333	0.000666667
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micromonosporaceae	0	0	0.0002	0	0	0.005133333	0.000333333	0	0.000666667	0.001266667	6.66667E-05	0	0.000266667	0.000266667	0.000133333	0	0.000533333	0	0.0004	0.0002	0	0.000133333	0	0.000466667	6.66667E-05	0	0	0	0	0	0	0	0.000266667	0.0004	0.0002	0.000133333	0	0	0	0.000266667	6.66667E-05	0	0.000466667	0	6.66667E-05	0	0	6.66667E-05	0	0	0.000133333	0.001	0.0006	0	0	0	0	0	0	0	0	0	0.000266667	0	0.0002	0.000466667	0.000466667	6.66667E-05	0	0	0	0.000133333	0	0.000133333	0	0	0.0002	0	0	0.0014	0.000866667	0.000466667	0.000133333	6.66667E-05	6.66667E-05	0	0	6.66667E-05	0.021866667	0.0002	0	0	6.66667E-05	0	0.000133333	6.66667E-05	6.66667E-05	0	0	6.66667E-05	6.66667E-05	0	0	6.66667E-05	0.000466667	0	6.66667E-05	6.66667E-05	0	0.001	0.001866667	0.0004	0	0.001666667	0	0	6.66667E-05	0	0.0002	0	0.0002	0	0	0.0002	6.66667E-05	0.000266667	0.000733333	0.000866667	0	0	0	0	0.000333333	0	0.000133333	0	0.0006	0	0.000133333	0.000666667	0.000133333	0	0	6.66667E-05	0	6.66667E-05	0.001933333	0.000866667	0	0.000733333	0	0	0.000133333	0	0.000266667	0	0.000333333	0	0	0	6.66667E-05	0.0002	0	0	0	0	0	0	0	0	6.66667E-05	6.66667E-05	0	0.000333333	0.0004	0	6.66667E-05	0	0	0.000333333	0	0.000266667	6.66667E-05	0	0	6.66667E-05	0	0	0	0	0.000133333	0.000733333	0	0.0006	6.66667E-05	0.000133333	0.0004	0.0002	0.000133333	6.66667E-05	0	0	6.66667E-05	0.000333333
