Gene	Taxon	Plot	landuseCode	Elevation	variable	value
18S	Arthropoda	CM30c51-I	I	67	OTU richness	24
18S	Arthropoda	CM30b58-C	I	9	OTU richness	41
18S	Arthropoda	LB1-E	I	630	OTU richness	47
18S	Arthropoda	CM31a5-A	I	70	OTU richness	43
18S	Arthropoda	Plot08-O	I	460	OTU richness	49
18S	Arthropoda	Plot05-I	I	240	OTU richness	47
18S	Arthropoda	Plot01-B	I	50	OTU richness	18
18S	Arthropoda	CM30c-O	I	283	OTU richness	38
18S	Arthropoda	CM30b60-E	I	400	OTU richness	33
18S	Arthropoda	CM30c39-E	I	290	OTU richness	12
18S	Arthropoda	Plot02-M	I	90	OTU richness	57
18S	Arthropoda	CM30c-P	I	283	OTU richness	57
18S	Arthropoda	CM30c35-D	I	165	OTU richness	28
18S	Arthropoda	CM30d12-H	I	371	OTU richness	70
18S	Arthropoda	CM30d12-L	I	371	OTU richness	53
18S	Arthropoda	CM30c46-D	I	319	OTU richness	37
18S	Arthropoda	CM30c44-B	I	110	OTU richness	23
18S	Arthropoda	CM30c35-B	I	165	OTU richness	34
18S	Arthropoda	CM30d3-L	I	518	OTU richness	55
18S	Arthropoda	CM30b51-B	I	174.627853	OTU richness	32
18S	Arthropoda	Plot06-I	I	320	OTU richness	34
18S	Arthropoda	Plot06-N	I	320	OTU richness	21
18S	Arthropoda	Plot05-N	I	240	OTU richness	38
18S	Arthropoda	CM30c46-O	I	319	OTU richness	41
18S	Arthropoda	CM30b51-M	I	174.627853	OTU richness	64
18S	Arthropoda	CM30d3-D	I	518	OTU richness	55
18S	Arthropoda	CM31a5-B	I	70	OTU richness	28
18S	Arthropoda	Plot01-L	I	50	OTU richness	17
18S	Arthropoda	CM30c53-B	I	155	OTU richness	63
18S	Arthropoda	Plot02-C	I	90	OTU richness	19
18S	Arthropoda	CM30c44-C	I	110	OTU richness	14
18S	Tardigrada	CM30c60-A	I	51	OTU richness	1
18S	Tardigrada	CM30c60-B	I	51	OTU richness	4
18S	Tardigrada	CM30c28-N	I	227	OTU richness	1
18S	Tardigrada	CM30c28-P	I	227	OTU richness	2
18S	Tardigrada	CM30b58-I	I	9	OTU richness	2
18S	Tardigrada	CM30c37-L	I	279	OTU richness	2
18S	Tardigrada	CM30c62-D	I	99	OTU richness	2
18S	Tardigrada	CM30c30-N	I	597	OTU richness	2
18S	Tardigrada	Plot08-I	I	460	OTU richness	3
18S	Tardigrada	Plot03-N	I	160	OTU richness	2
18S	Tardigrada	Plot07-N	I	420	OTU richness	0
18S	Tardigrada	LB1-A	I	630	OTU richness	2
18S	Tardigrada	CM30c37-E	I	279	OTU richness	1
18S	Tardigrada	LB5-I	I	634	OTU richness	4
18S	Tardigrada	CM30b60-M	I	400	OTU richness	3
18S	Tardigrada	CM30c30-L	I	597	OTU richness	1
18S	Tardigrada	Plot04-N	I	260	OTU richness	2
18S	Tardigrada	LB5-A	I	634	OTU richness	2
18S	Tardigrada	Plot07-M	I	420	OTU richness	1
18S	Tardigrada	CM30c39-A	I	290	OTU richness	1
18S	Tardigrada	CM30c62-M	I	99	OTU richness	1
18S	Tardigrada	Plot04-A	I	260	OTU richness	5
18S	Tardigrada	Plot03-H	I	160	OTU richness	4
18S	Tardigrada	CM30c51-H	I	67	OTU richness	1
18S	Tardigrada	CM30c53-I	I	155	OTU richness	1
18S	Tardigrada	CM30c51-I	I	67	OTU richness	1
18S	Tardigrada	CM30b58-C	I	9	OTU richness	1
18S	Tardigrada	LB1-E	I	630	OTU richness	2
18S	Tardigrada	CM31a5-A	I	70	OTU richness	1
18S	Tardigrada	Plot08-O	I	460	OTU richness	2
18S	Tardigrada	Plot05-I	I	240	OTU richness	1
18S	Tardigrada	Plot01-B	I	50	OTU richness	0
18S	Tardigrada	CM30c-O	I	283	OTU richness	0
18S	Tardigrada	CM30b60-E	I	400	OTU richness	4
18S	Tardigrada	CM30c39-E	I	290	OTU richness	2
18S	Tardigrada	Plot02-M	I	90	OTU richness	3
18S	Tardigrada	CM30c-P	I	283	OTU richness	1
18S	Tardigrada	CM30c35-D	I	165	OTU richness	2
18S	Tardigrada	CM30d12-H	I	371	OTU richness	3
18S	Tardigrada	CM30d12-L	I	371	OTU richness	3
18S	Tardigrada	CM30c46-D	I	319	OTU richness	0
18S	Tardigrada	CM30c44-B	I	110	OTU richness	1
18S	Tardigrada	CM30c35-B	I	165	OTU richness	3
18S	Tardigrada	CM30d3-L	I	518	OTU richness	6
18S	Tardigrada	CM30b51-B	I	174.627853	OTU richness	3
18S	Tardigrada	Plot06-I	I	320	OTU richness	1
18S	Tardigrada	Plot06-N	I	320	OTU richness	2
18S	Tardigrada	Plot05-N	I	240	OTU richness	2
18S	Tardigrada	CM30c46-O	I	319	OTU richness	2
18S	Tardigrada	CM30b51-M	I	174.627853	OTU richness	2
18S	Tardigrada	CM30d3-D	I	518	OTU richness	4
18S	Tardigrada	CM31a5-B	I	70	OTU richness	3
18S	Tardigrada	Plot01-L	I	50	OTU richness	0
18S	Tardigrada	CM30c53-B	I	155	OTU richness	2
18S	Tardigrada	Plot02-C	I	90	OTU richness	2
18S	Tardigrada	CM30c44-C	I	110	OTU richness	2
18S	Annelida	CM30c60-A	I	51	OTU richness	2
18S	Annelida	CM30c60-B	I	51	OTU richness	3
18S	Annelida	CM30c28-N	I	227	OTU richness	3
18S	Annelida	CM30c28-P	I	227	OTU richness	2
18S	Annelida	CM30b58-I	I	9	OTU richness	3
18S	Annelida	CM30c37-L	I	279	OTU richness	6
18S	Annelida	CM30c62-D	I	99	OTU richness	4
18S	Annelida	CM30c30-N	I	597	OTU richness	4
18S	Annelida	Plot08-I	I	460	OTU richness	3
18S	Annelida	Plot03-N	I	160	OTU richness	4
18S	Annelida	Plot07-N	I	420	OTU richness	1
18S	Annelida	LB1-A	I	630	OTU richness	5
18S	Annelida	CM30c37-E	I	279	OTU richness	2
18S	Annelida	LB5-I	I	634	OTU richness	8
18S	Annelida	CM30b60-M	I	400	OTU richness	2
18S	Annelida	CM30c30-L	I	597	OTU richness	4
18S	Annelida	Plot04-N	I	260	OTU richness	4
18S	Annelida	LB5-A	I	634	OTU richness	2
18S	Annelida	Plot07-M	I	420	OTU richness	2
18S	Annelida	CM30c39-A	I	290	OTU richness	4
18S	Annelida	CM30c62-M	I	99	OTU richness	4
18S	Annelida	Plot04-A	I	260	OTU richness	5
18S	Annelida	Plot03-H	I	160	OTU richness	5
18S	Annelida	CM30c51-H	I	67	OTU richness	1
18S	Annelida	CM30c53-I	I	155	OTU richness	1
18S	Annelida	CM30c51-I	I	67	OTU richness	2
18S	Annelida	CM30b58-C	I	9	OTU richness	3
18S	Annelida	LB1-E	I	630	OTU richness	8
18S	Annelida	CM31a5-A	I	70	OTU richness	1
18S	Annelida	Plot08-O	I	460	OTU richness	6
18S	Annelida	Plot05-I	I	240	OTU richness	2
18S	Annelida	Plot01-B	I	50	OTU richness	3
18S	Annelida	CM30c-O	I	283	OTU richness	1
18S	Annelida	CM30b60-E	I	400	OTU richness	4
18S	Annelida	CM30c39-E	I	290	OTU richness	1
18S	Annelida	Plot02-M	I	90	OTU richness	2
18S	Annelida	CM30c-P	I	283	OTU richness	3
18S	Annelida	CM30c35-D	I	165	OTU richness	3
18S	Annelida	CM30d12-H	I	371	OTU richness	4
18S	Annelida	CM30d12-L	I	371	OTU richness	6
18S	Annelida	CM30c46-D	I	319	OTU richness	2
18S	Annelida	CM30c44-B	I	110	OTU richness	4
18S	Annelida	CM30c35-B	I	165	OTU richness	6
18S	Annelida	CM30d3-L	I	518	OTU richness	3
18S	Annelida	CM30b51-B	I	174.627853	OTU richness	5
18S	Annelida	Plot06-I	I	320	OTU richness	3
18S	Annelida	Plot06-N	I	320	OTU richness	3
18S	Annelida	Plot05-N	I	240	OTU richness	4
18S	Annelida	CM30c46-O	I	319	OTU richness	3
18S	Annelida	CM30b51-M	I	174.627853	OTU richness	2
18S	Annelida	CM30d3-D	I	518	OTU richness	3
18S	Annelida	CM31a5-B	I	70	OTU richness	1
18S	Annelida	Plot01-L	I	50	OTU richness	2
18S	Annelida	CM30c53-B	I	155	OTU richness	2
18S	Annelida	Plot02-C	I	90	OTU richness	2
18S	Annelida	CM30c44-C	I	110	OTU richness	2
18S	Gastrotricha	CM30c60-A	I	51	OTU richness	5
18S	Gastrotricha	CM30c60-B	I	51	OTU richness	9
18S	Gastrotricha	CM30c28-N	I	227	OTU richness	10
18S	Gastrotricha	CM30c28-P	I	227	OTU richness	9
18S	Gastrotricha	CM30b58-I	I	9	OTU richness	6
18S	Gastrotricha	CM30c37-L	I	279	OTU richness	8
18S	Gastrotricha	CM30c62-D	I	99	OTU richness	6
18S	Gastrotricha	CM30c30-N	I	597	OTU richness	18
18S	Gastrotricha	Plot08-I	I	460	OTU richness	7
18S	Gastrotricha	Plot03-N	I	160	OTU richness	9
18S	Gastrotricha	Plot07-N	I	420	OTU richness	6
18S	Gastrotricha	LB1-A	I	630	OTU richness	21
18S	Gastrotricha	CM30c37-E	I	279	OTU richness	6
18S	Gastrotricha	LB5-I	I	634	OTU richness	16
18S	Gastrotricha	CM30b60-M	I	400	OTU richness	6
18S	Gastrotricha	CM30c30-L	I	597	OTU richness	17
18S	Gastrotricha	Plot04-N	I	260	OTU richness	15
18S	Gastrotricha	LB5-A	I	634	OTU richness	18
18S	Gastrotricha	Plot07-M	I	420	OTU richness	8
18S	Gastrotricha	CM30c39-A	I	290	OTU richness	6
18S	Gastrotricha	CM30c62-M	I	99	OTU richness	9
18S	Gastrotricha	Plot04-A	I	260	OTU richness	16
18S	Gastrotricha	Plot03-H	I	160	OTU richness	7
18S	Gastrotricha	CM30c51-H	I	67	OTU richness	9
18S	Gastrotricha	CM30c53-I	I	155	OTU richness	10
18S	Gastrotricha	CM30c51-I	I	67	OTU richness	4
18S	Gastrotricha	CM30b58-C	I	9	OTU richness	12
18S	Gastrotricha	LB1-E	I	630	OTU richness	19
18S	Gastrotricha	CM31a5-A	I	70	OTU richness	10
18S	Gastrotricha	Plot08-O	I	460	OTU richness	11
18S	Gastrotricha	Plot05-I	I	240	OTU richness	9
18S	Gastrotricha	Plot01-B	I	50	OTU richness	3
18S	Gastrotricha	CM30c-O	I	283	OTU richness	3
18S	Gastrotricha	CM30b60-E	I	400	OTU richness	6
18S	Gastrotricha	CM30c39-E	I	290	OTU richness	5
18S	Gastrotricha	Plot02-M	I	90	OTU richness	9
18S	Gastrotricha	CM30c-P	I	283	OTU richness	8
18S	Gastrotricha	CM30c35-D	I	165	OTU richness	12
18S	Gastrotricha	CM30d12-H	I	371	OTU richness	10
18S	Gastrotricha	CM30d12-L	I	371	OTU richness	14
18S	Gastrotricha	CM30c46-D	I	319	OTU richness	10
18S	Gastrotricha	CM30c44-B	I	110	OTU richness	5
18S	Gastrotricha	CM30c35-B	I	165	OTU richness	13
18S	Gastrotricha	CM30d3-L	I	518	OTU richness	19
18S	Gastrotricha	CM30b51-B	I	174.627853	OTU richness	9
18S	Gastrotricha	Plot06-I	I	320	OTU richness	9
18S	Gastrotricha	Plot06-N	I	320	OTU richness	9
18S	Gastrotricha	Plot05-N	I	240	OTU richness	8
18S	Gastrotricha	CM30c46-O	I	319	OTU richness	9
18S	Gastrotricha	CM30b51-M	I	174.627853	OTU richness	12
18S	Gastrotricha	CM30d3-D	I	518	OTU richness	18
18S	Gastrotricha	CM31a5-B	I	70	OTU richness	8
18S	Gastrotricha	Plot01-L	I	50	OTU richness	4
18S	Gastrotricha	CM30c53-B	I	155	OTU richness	12
18S	Gastrotricha	Plot02-C	I	90	OTU richness	7
18S	Gastrotricha	CM30c44-C	I	110	OTU richness	4
18S	Rotifera	CM30c60-A	I	51	OTU richness	1
18S	Rotifera	CM30c60-B	I	51	OTU richness	4
18S	Rotifera	CM30c28-N	I	227	OTU richness	5
18S	Rotifera	CM30c28-P	I	227	OTU richness	4
18S	Rotifera	CM30b58-I	I	9	OTU richness	3
18S	Rotifera	CM30c37-L	I	279	OTU richness	3
18S	Rotifera	CM30c62-D	I	99	OTU richness	2
18S	Rotifera	CM30c30-N	I	597	OTU richness	4
18S	Rotifera	Plot08-I	I	460	OTU richness	2
18S	Rotifera	Plot03-N	I	160	OTU richness	4
18S	Rotifera	Plot07-N	I	420	OTU richness	2
18S	Rotifera	LB1-A	I	630	OTU richness	4
18S	Rotifera	CM30c37-E	I	279	OTU richness	1
18S	Rotifera	LB5-I	I	634	OTU richness	5
18S	Rotifera	CM30b60-M	I	400	OTU richness	3
18S	Rotifera	CM30c30-L	I	597	OTU richness	3
18S	Rotifera	Plot04-N	I	260	OTU richness	5
18S	Rotifera	LB5-A	I	634	OTU richness	4
18S	Rotifera	Plot07-M	I	420	OTU richness	2
18S	Rotifera	CM30c39-A	I	290	OTU richness	2
18S	Rotifera	CM30c62-M	I	99	OTU richness	4
18S	Rotifera	Plot04-A	I	260	OTU richness	8
18S	Rotifera	Plot03-H	I	160	OTU richness	2
18S	Rotifera	CM30c51-H	I	67	OTU richness	3
18S	Rotifera	CM30c53-I	I	155	OTU richness	2
18S	Rotifera	CM30c51-I	I	67	OTU richness	2
18S	Rotifera	CM30b58-C	I	9	OTU richness	4
18S	Rotifera	LB1-E	I	630	OTU richness	3
18S	Rotifera	CM31a5-A	I	70	OTU richness	3
18S	Rotifera	Plot08-O	I	460	OTU richness	2
18S	Rotifera	Plot05-I	I	240	OTU richness	5
18S	Rotifera	Plot01-B	I	50	OTU richness	3
18S	Rotifera	CM30c-O	I	283	OTU richness	2
18S	Rotifera	CM30b60-E	I	400	OTU richness	1
18S	Rotifera	CM30c39-E	I	290	OTU richness	2
18S	Rotifera	Plot02-M	I	90	OTU richness	5
18S	Rotifera	CM30c-P	I	283	OTU richness	4
18S	Rotifera	CM30c35-D	I	165	OTU richness	4
18S	Rotifera	CM30d12-H	I	371	OTU richness	5
18S	Rotifera	CM30d12-L	I	371	OTU richness	3
18S	Rotifera	CM30c46-D	I	319	OTU richness	5
18S	Rotifera	CM30c44-B	I	110	OTU richness	3
18S	Rotifera	CM30c35-B	I	165	OTU richness	4
18S	Rotifera	CM30d3-L	I	518	OTU richness	5
18S	Rotifera	CM30b51-B	I	174.627853	OTU richness	5
18S	Rotifera	Plot06-I	I	320	OTU richness	4
18S	Rotifera	Plot06-N	I	320	OTU richness	2
18S	Rotifera	Plot05-N	I	240	OTU richness	6
18S	Rotifera	CM30c46-O	I	319	OTU richness	4
18S	Rotifera	CM30b51-M	I	174.627853	OTU richness	2
18S	Rotifera	CM30d3-D	I	518	OTU richness	4
18S	Rotifera	CM31a5-B	I	70	OTU richness	2
18S	Rotifera	Plot01-L	I	50	OTU richness	1
18S	Rotifera	CM30c53-B	I	155	OTU richness	3
18S	Rotifera	Plot02-C	I	90	OTU richness	2
18S	Rotifera	CM30c44-C	I	110	OTU richness	2
18S	Porifera	CM30c60-A	I	51	OTU richness	0
18S	Porifera	CM30c60-B	I	51	OTU richness	0
18S	Porifera	CM30c28-N	I	227	OTU richness	0
18S	Porifera	CM30c28-P	I	227	OTU richness	0
18S	Porifera	CM30b58-I	I	9	OTU richness	1
18S	Porifera	CM30c37-L	I	279	OTU richness	0
18S	Porifera	CM30c62-D	I	99	OTU richness	0
18S	Porifera	CM30c30-N	I	597	OTU richness	1
18S	Porifera	Plot08-I	I	460	OTU richness	0
18S	Porifera	Plot03-N	I	160	OTU richness	1
18S	Porifera	Plot07-N	I	420	OTU richness	0
18S	Porifera	LB1-A	I	630	OTU richness	0
18S	Porifera	CM30c37-E	I	279	OTU richness	1
18S	Porifera	LB5-I	I	634	OTU richness	0
18S	Porifera	CM30b60-M	I	400	OTU richness	0
18S	Porifera	CM30c30-L	I	597	OTU richness	0
18S	Porifera	Plot04-N	I	260	OTU richness	2
18S	Porifera	LB5-A	I	634	OTU richness	0
18S	Porifera	Plot07-M	I	420	OTU richness	1
18S	Porifera	CM30c39-A	I	290	OTU richness	0
18S	Porifera	CM30c62-M	I	99	OTU richness	0
18S	Porifera	Plot04-A	I	260	OTU richness	2
18S	Porifera	Plot03-H	I	160	OTU richness	1
18S	Porifera	CM30c51-H	I	67	OTU richness	0
18S	Porifera	CM30c53-I	I	155	OTU richness	0
18S	Porifera	CM30c51-I	I	67	OTU richness	0
18S	Porifera	CM30b58-C	I	9	OTU richness	1
18S	Porifera	LB1-E	I	630	OTU richness	0
18S	Porifera	CM31a5-A	I	70	OTU richness	1
18S	Porifera	Plot08-O	I	460	OTU richness	0
18S	Porifera	Plot05-I	I	240	OTU richness	1
18S	Porifera	Plot01-B	I	50	OTU richness	0
18S	Porifera	CM30c-O	I	283	OTU richness	0
18S	Porifera	CM30b60-E	I	400	OTU richness	0
18S	Porifera	CM30c39-E	I	290	OTU richness	0
18S	Porifera	Plot02-M	I	90	OTU richness	0
18S	Porifera	CM30c-P	I	283	OTU richness	0
18S	Porifera	CM30c35-D	I	165	OTU richness	0
18S	Porifera	CM30d12-H	I	371	OTU richness	0
18S	Porifera	CM30d12-L	I	371	OTU richness	0
18S	Porifera	CM30c46-D	I	319	OTU richness	0
18S	Porifera	CM30c44-B	I	110	OTU richness	1
18S	Porifera	CM30c35-B	I	165	OTU richness	0
18S	Porifera	CM30d3-L	I	518	OTU richness	1
18S	Porifera	CM30b51-B	I	174.627853	OTU richness	1
18S	Porifera	Plot06-I	I	320	OTU richness	1
18S	Porifera	Plot06-N	I	320	OTU richness	1
18S	Porifera	Plot05-N	I	240	OTU richness	1
18S	Porifera	CM30c46-O	I	319	OTU richness	0
18S	Porifera	CM30b51-M	I	174.627853	OTU richness	0
18S	Porifera	CM30d3-D	I	518	OTU richness	2
18S	Porifera	CM31a5-B	I	70	OTU richness	0
18S	Porifera	Plot01-L	I	50	OTU richness	2
18S	Porifera	CM30c53-B	I	155	OTU richness	0
18S	Porifera	Plot02-C	I	90	OTU richness	0
18S	Porifera	CM30c44-C	I	110	OTU richness	1
18S	Chlorophyta	CM30c60-A	I	51	OTU richness	2
18S	Chlorophyta	CM30c60-B	I	51	OTU richness	2
18S	Chlorophyta	CM30c28-N	I	227	OTU richness	1
18S	Chlorophyta	CM30c28-P	I	227	OTU richness	4
18S	Chlorophyta	CM30b58-I	I	9	OTU richness	1
18S	Chlorophyta	CM30c37-L	I	279	OTU richness	2
18S	Chlorophyta	CM30c62-D	I	99	OTU richness	1
18S	Chlorophyta	CM30c30-N	I	597	OTU richness	0
18S	Chlorophyta	Plot08-I	I	460	OTU richness	1
18S	Chlorophyta	Plot03-N	I	160	OTU richness	3
18S	Chlorophyta	Plot07-N	I	420	OTU richness	4
18S	Chlorophyta	LB1-A	I	630	OTU richness	2
18S	Chlorophyta	CM30c37-E	I	279	OTU richness	3
18S	Chlorophyta	LB5-I	I	634	OTU richness	7
18S	Chlorophyta	CM30b60-M	I	400	OTU richness	5
18S	Chlorophyta	CM30c30-L	I	597	OTU richness	3
18S	Chlorophyta	Plot04-N	I	260	OTU richness	12
18S	Chlorophyta	LB5-A	I	634	OTU richness	3
18S	Chlorophyta	Plot07-M	I	420	OTU richness	3
18S	Chlorophyta	CM30c39-A	I	290	OTU richness	0
18S	Chlorophyta	CM30c62-M	I	99	OTU richness	6
18S	Chlorophyta	Plot04-A	I	260	OTU richness	12
18S	Chlorophyta	Plot03-H	I	160	OTU richness	7
18S	Chlorophyta	CM30c51-H	I	67	OTU richness	5
18S	Chlorophyta	CM30c53-I	I	155	OTU richness	3
18S	Chlorophyta	CM30c51-I	I	67	OTU richness	3
18S	Chlorophyta	CM30b58-C	I	9	OTU richness	1
18S	Chlorophyta	LB1-E	I	630	OTU richness	4
18S	Chlorophyta	CM31a5-A	I	70	OTU richness	0
18S	Chlorophyta	Plot08-O	I	460	OTU richness	5
18S	Chlorophyta	Plot05-I	I	240	OTU richness	3
18S	Chlorophyta	Plot01-B	I	50	OTU richness	4
18S	Chlorophyta	CM30c-O	I	283	OTU richness	2
18S	Chlorophyta	CM30b60-E	I	400	OTU richness	4
18S	Chlorophyta	CM30c39-E	I	290	OTU richness	1
18S	Chlorophyta	Plot02-M	I	90	OTU richness	1
18S	Chlorophyta	CM30c-P	I	283	OTU richness	4
18S	Chlorophyta	CM30c35-D	I	165	OTU richness	2
18S	Chlorophyta	CM30d12-H	I	371	OTU richness	3
18S	Chlorophyta	CM30d12-L	I	371	OTU richness	4
18S	Chlorophyta	CM30c46-D	I	319	OTU richness	1
18S	Chlorophyta	CM30c44-B	I	110	OTU richness	2
18S	Chlorophyta	CM30c35-B	I	165	OTU richness	4
18S	Chlorophyta	CM30d3-L	I	518	OTU richness	9
18S	Chlorophyta	CM30b51-B	I	174.627853	OTU richness	1
18S	Chlorophyta	Plot06-I	I	320	OTU richness	6
18S	Chlorophyta	Plot06-N	I	320	OTU richness	4
18S	Chlorophyta	Plot05-N	I	240	OTU richness	3
18S	Chlorophyta	CM30c46-O	I	319	OTU richness	1
18S	Chlorophyta	CM30b51-M	I	174.627853	OTU richness	2
18S	Chlorophyta	CM30d3-D	I	518	OTU richness	6
18S	Chlorophyta	CM31a5-B	I	70	OTU richness	0
18S	Chlorophyta	Plot01-L	I	50	OTU richness	3
18S	Chlorophyta	CM30c53-B	I	155	OTU richness	4
18S	Chlorophyta	Plot02-C	I	90	OTU richness	2
18S	Chlorophyta	CM30c44-C	I	110	OTU richness	5
ITS	All Fungi	CM30c60-A	I	51	OTU richness	472
ITS	All Fungi	CM30c37-L	I	279	OTU richness	656
ITS	All Fungi	CM30c28-N	I	227	OTU richness	760
ITS	All Fungi	CM30c28-P	I	227	OTU richness	725
ITS	All Fungi	CM30c60-B	I	51	OTU richness	878
ITS	All Fungi	Plot04-A	I	260	OTU richness	1249
ITS	All Fungi	Plot08-I	I	460	OTU richness	524
ITS	All Fungi	CM30b58-C	I	9	OTU richness	580
ITS	All Fungi	CM30c30-L	I	597	OTU richness	599
ITS	All Fungi	CM30b60-M	I	400	OTU richness	670
ITS	All Fungi	Plot03-N	I	160	OTU richness	673
ITS	All Fungi	LB5-A	I	634	OTU richness	849
ITS	All Fungi	CM30c53-I	I	155	OTU richness	702
ITS	All Fungi	CM30c62-D	I	99	OTU richness	441
ITS	All Fungi	Plot07-N	I	420	OTU richness	661
ITS	All Fungi	CM30c37-E	I	279	OTU richness	816
ITS	All Fungi	Plot07-M	I	420	OTU richness	694
ITS	All Fungi	Plot05-I	I	240	OTU richness	686
ITS	All Fungi	CM30c39-A	I	290	OTU richness	438
ITS	All Fungi	LB1-E	I	630	OTU richness	742
ITS	All Fungi	CM30c30-N	I	597	OTU richness	692
ITS	All Fungi	CM30c62-M	I	99	OTU richness	758
ITS	All Fungi	CM30d12-L	I	371	OTU richness	849
ITS	All Fungi	Plot03-H	I	160	OTU richness	690
ITS	All Fungi	CM30c44-B	I	110	OTU richness	498
ITS	All Fungi	CM30c39-E	I	290	OTU richness	338
ITS	All Fungi	LB1-A	I	630	OTU richness	524
ITS	All Fungi	CM30c51-H	I	67	OTU richness	712
ITS	All Fungi	Plot08-O	I	460	OTU richness	785
ITS	All Fungi	CM30c35-D	I	165	OTU richness	620
ITS	All Fungi	CM30b60-E	I	400	OTU richness	747
ITS	All Fungi	CM30c-O	I	283	OTU richness	485
ITS	All Fungi	CM30c46-O	I	319	OTU richness	554
ITS	All Fungi	CM30b51-B	I	174.627853	OTU richness	1127
ITS	All Fungi	CM30b58-I	I	9	OTU richness	731
ITS	All Fungi	CM30d12-H	I	371	OTU richness	581
ITS	All Fungi	LB5-I	I	634	OTU richness	705
ITS	All Fungi	CM30c44-C	I	110	OTU richness	184
ITS	All Fungi	CM30d3-D	I	518	OTU richness	1340
ITS	All Fungi	CM30d3-L	I	518	OTU richness	843
ITS	All Fungi	CM30c51-I	I	67	OTU richness	724
ITS	All Fungi	CM31a5-B	I	70	OTU richness	341
ITS	All Fungi	Plot05-N	I	240	OTU richness	920
ITS	All Fungi	Plot01-B	I	50	OTU richness	536
ITS	All Fungi	CM31a5-A	I	70	OTU richness	409
ITS	All Fungi	Plot04-N	I	260	OTU richness	681
ITS	All Fungi	CM30c53-B	I	155	OTU richness	739
ITS	All Fungi	CM30c35-B	I	165	OTU richness	683
ITS	All Fungi	Plot06-N	I	320	OTU richness	940
ITS	All Fungi	Plot06-I	I	320	OTU richness	585
ITS	All Fungi	Plot02-C	I	90	OTU richness	384
ITS	All Fungi	Plot01-L	I	50	OTU richness	555
ITS	All Fungi	CM30c46-D	I	319	OTU richness	266
ITS	All Fungi	Plot02-M	I	90	OTU richness	512
ITS	All Fungi	CM30c-P	I	283	OTU richness	780
ITS	All Fungi	CM30b51-M	I	174.627853	OTU richness	440
ITS	Chytridiomycota	CM30c60-A	I	51	OTU richness	8
ITS	Chytridiomycota	CM30c37-L	I	279	OTU richness	4
ITS	Chytridiomycota	CM30c28-N	I	227	OTU richness	9
ITS	Chytridiomycota	CM30c28-P	I	227	OTU richness	8
ITS	Chytridiomycota	CM30c60-B	I	51	OTU richness	11
ITS	Chytridiomycota	Plot04-A	I	260	OTU richness	33
ITS	Chytridiomycota	Plot08-I	I	460	OTU richness	8
ITS	Chytridiomycota	CM30b58-C	I	9	OTU richness	15
ITS	Chytridiomycota	CM30c30-L	I	597	OTU richness	7
ITS	Chytridiomycota	CM30b60-M	I	400	OTU richness	9
ITS	Chytridiomycota	Plot03-N	I	160	OTU richness	7
ITS	Chytridiomycota	LB5-A	I	634	OTU richness	9
ITS	Chytridiomycota	CM30c53-I	I	155	OTU richness	3
ITS	Chytridiomycota	CM30c62-D	I	99	OTU richness	7
ITS	Chytridiomycota	Plot07-N	I	420	OTU richness	9
ITS	Chytridiomycota	CM30c37-E	I	279	OTU richness	11
ITS	Chytridiomycota	Plot07-M	I	420	OTU richness	13
ITS	Chytridiomycota	Plot05-I	I	240	OTU richness	10
ITS	Chytridiomycota	CM30c39-A	I	290	OTU richness	4
ITS	Chytridiomycota	LB1-E	I	630	OTU richness	9
ITS	Chytridiomycota	CM30c30-N	I	597	OTU richness	6
ITS	Chytridiomycota	CM30c62-M	I	99	OTU richness	11
ITS	Chytridiomycota	CM30d12-L	I	371	OTU richness	10
ITS	Chytridiomycota	Plot03-H	I	160	OTU richness	15
ITS	Chytridiomycota	CM30c44-B	I	110	OTU richness	3
ITS	Chytridiomycota	CM30c39-E	I	290	OTU richness	5
ITS	Chytridiomycota	LB1-A	I	630	OTU richness	5
ITS	Chytridiomycota	CM30c51-H	I	67	OTU richness	12
ITS	Chytridiomycota	Plot08-O	I	460	OTU richness	15
ITS	Chytridiomycota	CM30c35-D	I	165	OTU richness	10
ITS	Chytridiomycota	CM30b60-E	I	400	OTU richness	11
ITS	Chytridiomycota	CM30c-O	I	283	OTU richness	3
ITS	Chytridiomycota	CM30c46-O	I	319	OTU richness	5
ITS	Chytridiomycota	CM30b51-B	I	174.627853	OTU richness	23
ITS	Chytridiomycota	CM30b58-I	I	9	OTU richness	14
ITS	Chytridiomycota	CM30d12-H	I	371	OTU richness	6
ITS	Chytridiomycota	LB5-I	I	634	OTU richness	5
ITS	Chytridiomycota	CM30c44-C	I	110	OTU richness	1
ITS	Chytridiomycota	CM30d3-D	I	518	OTU richness	19
ITS	Chytridiomycota	CM30d3-L	I	518	OTU richness	12
ITS	Chytridiomycota	CM30c51-I	I	67	OTU richness	7
ITS	Chytridiomycota	CM31a5-B	I	70	OTU richness	5
ITS	Chytridiomycota	Plot05-N	I	240	OTU richness	13
ITS	Chytridiomycota	Plot01-B	I	50	OTU richness	19
ITS	Chytridiomycota	CM31a5-A	I	70	OTU richness	6
ITS	Chytridiomycota	Plot04-N	I	260	OTU richness	14
ITS	Chytridiomycota	CM30c53-B	I	155	OTU richness	4
ITS	Chytridiomycota	CM30c35-B	I	165	OTU richness	12
